wellName,datasetName,DEPTH,DT,Electro_Facies,GR,NPHI,PHIE,RHOB,VCL
,,M,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
SVNE-3XP_raw,SVNE-3XP,2337,90.5358,-9999,73.3095,0.3629,0.1222,2.4227,0.5259
SVNE-3XP_raw,SVNE-3XP,2337.15,92.8849,5,76.6631,0.3848,0.1045,2.4283,0.6181
SVNE-3XP_raw,SVNE-3XP,2337.3,95.5463,-9999,77.9345,0.3896,0.0959,2.4259,0.6567
SVNE-3XP_raw,SVNE-3XP,2337.45,96.1291,-9999,77.8039,0.3907,0.0994,2.4178,0.6526
SVNE-3XP_raw,SVNE-3XP,2337.6,94.8493,-9999,76.0542,0.3759,0.1105,2.4056,0.6004
SVNE-3XP_raw,SVNE-3XP,2337.75,91.9995,-9999,69.9542,0.3249,0.1341,2.3841,0.4457
SVNE-3XP_raw,SVNE-3XP,2337.9,89.5308,6,59.1477,0.2601,0.1628,2.3536,0.2525
SVNE-3XP_raw,SVNE-3XP,2338.05,88.2693,4,49.2546,0.2224,0.1839,2.3326,0.1382
SVNE-3XP_raw,SVNE-3XP,2338.2,87.979,6,46.2384,0.2234,0.1896,2.3341,0.1118
SVNE-3XP_raw,SVNE-3XP,2338.35,88.5139,-9999,47.4182,0.2353,0.1888,2.3415,0.1218
SVNE-3XP_raw,SVNE-3XP,2338.5,87.9454,1,52.4708,0.2607,0.1834,2.3599,0.1703
SVNE-3XP_raw,SVNE-3XP,2338.65,86.116,-9999,56.9039,0.2623,0.1652,2.3782,0.2223
SVNE-3XP_raw,SVNE-3XP,2338.8,84.8109,-9999,58.6905,0.2517,0.1478,2.3969,0.2461
SVNE-3XP_raw,SVNE-3XP,2338.95,84.0398,-9999,58.9174,0.2468,0.1411,2.4107,0.2493
SVNE-3XP_raw,SVNE-3XP,2339.1,83.7455,6,58.5827,0.2424,0.1394,2.4127,0.2447
SVNE-3XP_raw,SVNE-3XP,2339.25,83.4958,-9999,57.1652,0.2368,0.1433,2.4043,0.2257
SVNE-3XP_raw,SVNE-3XP,2339.4,83.2347,-9999,53.2817,0.2316,0.1576,2.3877,0.1791
SVNE-3XP_raw,SVNE-3XP,2339.55,82.9394,4,48.121,0.2223,0.1753,2.3629,0.1279
SVNE-3XP_raw,SVNE-3XP,2339.7,82.7671,-9999,44.5337,0.2085,0.1855,2.3402,0.0983
SVNE-3XP_raw,SVNE-3XP,2339.85,82.5819,2,43.1626,0.1953,0.1872,2.3288,0.0882
SVNE-3XP_raw,SVNE-3XP,2340,82.1585,-9999,41.4301,0.1884,0.1906,2.3203,0.0761
SVNE-3XP_raw,SVNE-3XP,2340.15,81.7596,-9999,38.1474,0.1894,0.2026,2.3018,0.0556
SVNE-3XP_raw,SVNE-3XP,2340.3,81.4787,-9999,34.712,0.1959,0.2171,2.2805,0.0369
SVNE-3XP_raw,SVNE-3XP,2340.45,81.3589,7,32.9401,0.203,0.2255,2.2702,0.0282
SVNE-3XP_raw,SVNE-3XP,2340.6,81.5217,-9999,33.3026,0.2067,0.2276,2.2669,0.03
SVNE-3XP_raw,SVNE-3XP,2340.75,81.9604,-9999,35.599,0.2065,0.2278,2.2595,0.0414
SVNE-3XP_raw,SVNE-3XP,2340.9,82.5954,-9999,39.7949,0.207,0.2271,2.248,0.0655
SVNE-3XP_raw,SVNE-3XP,2341.05,83.2322,-9999,45.9201,0.2126,0.2221,2.2419,0.1093
SVNE-3XP_raw,SVNE-3XP,2341.2,83.8289,-9999,55.4304,0.2205,0.2023,2.2494,0.2039
SVNE-3XP_raw,SVNE-3XP,2341.35,84.4257,4,68.8822,0.2335,0.155,2.274,0.4224
SVNE-3XP_raw,SVNE-3XP,2341.5,85.0576,6,82.062,0.2553,0.0053,2.3077,0.7969
SVNE-3XP_raw,SVNE-3XP,2341.65,85.8653,1,89.4559,0.2747,0.0001,2.3355,1
SVNE-3XP_raw,SVNE-3XP,2341.8,87.1516,-9999,90.839,0.2823,0.0001,2.3547,1
